haplotype,jaccard,union,total_ref,pop,mutual,total,seqID,unique_ref_motifs,shared_with_ref_perc
HG02559.maternal,0.08185654278821046,312107,29767,AFR,25548,307888,chr1,29767,85.82658648839319
HG02559.maternal,0.027074567818506323,310402,10918,AFR,8404,307888,chr14,10918,76.97380472614032
HG02559.maternal,0.01213485471810396,309192,5056,AFR,3752,307888,chr21,5056,74.20886075949367
HG02559.maternal,0.05412700667708481,309716,18592,AFR,16764,307888,chr11,18592,90.16781411359725
HG02559.maternal,0.046384773105342565,310188,16688,AFR,14388,307888,chr3,16688,86.2176414189837
HG02559.maternal,0.0353050281265744,311627,14741,AFR,11002,307888,chr12,14741,74.63537073468557
HG02559.maternal,0.03637500400782327,311890,15347,AFR,11345,307888,chr16,15347,73.92324232749071
HG02559.maternal,0.04729338274561844,308965,15689,AFR,14612,307888,chr9,15689,93.13531773854292
HG02559.maternal,1.2991695058933577e-05,307889,5,AFR,4,307888,chrM,5,80.0
HG02559.maternal,0.0580344030546439,313228,23518,AFR,18178,307888,chr2,23518,77.29398758397824
HG02559.maternal,0.03902194154319488,308775,12936,AFR,12049,307888,chr4,12936,93.14316635745207
HG02559.maternal,0.03371962712854946,311421,14034,AFR,10501,307888,chr8,14034,74.8254239703577
HG02559.maternal,0.040435047577282855,310127,14779,AFR,12540,307888,chr6,14779,84.85012517761689
HG02486.paternal,0.039760659480698776,301328,15028,AFR,11981,298281,chr5,15028,79.72451424008517
HG02486.paternal,0.03140651503212106,299492,10617,AFR,9406,298281,chr22,10617,88.59376471696336
HG02486.paternal,0.02019147026338006,299681,7451,AFR,6051,298281,chr13,7451,81.21057576164273
HG02486.paternal,0.04233629722672132,302530,17057,AFR,12808,298281,chr7,17057,75.08940610892888
HG02486.paternal,0.030389202636812943,300666,11522,AFR,9137,298281,chr20,11522,79.30046866863391
HG02486.paternal,0.01830491056085899,299701,6906,AFR,5486,298281,chr18,6906,79.43816970750072
HG02486.paternal,0.027716068269192397,300692,10745,AFR,8334,298281,chr15,10745,77.5616565844579
HG02486.paternal,0.046506009742666526,302176,17948,AFR,14053,298281,chr17,17948,78.29841765099175
HG02486.paternal,0.0459395591013514,303834,19511,AFR,13958,298281,chr19,19511,71.53913177182102
HG02486.paternal,0.04208396224850305,301445,15850,AFR,12686,298281,chr10,15850,80.03785488958991
HG02486.paternal,0.07917626159615765,303980,29767,AFR,24068,298281,chr1,29767,80.85463768602816
HG02486.paternal,0.027956381528641244,300790,10918,AFR,8409,298281,chr14,10918,77.01960065946145
HG02486.paternal,0.012686245772642445,299537,5056,AFR,3800,298281,chr21,5056,75.15822784810126
HG02486.paternal,0.05573657977504131,300144,18592,AFR,16729,298281,chr11,18592,89.97956110154905
HG02486.paternal,0.042132777474481777,302235,16688,AFR,12734,298281,chr3,16688,76.30632790028763
HG02486.paternal,0.0426316438114335,300223,14741,AFR,12799,298281,chr12,14741,86.82585984668611
HG02486.paternal,0.040342857901056836,301466,15347,AFR,12162,298281,chr16,15347,79.24675832410243
HG02486.paternal,0.04137713726595798,301495,15689,AFR,12475,298281,chr9,15689,79.51430938874371
HG02486.paternal,0.0,298286,5,AFR,0,298281,chrM,5,0.0
HG02486.paternal,0.06244965069135378,302884,23518,AFR,18915,298281,chr2,23518,80.42775746236924
HG02486.paternal,0.03297575029374473,301282,12936,AFR,9935,298281,chr4,12936,76.80117501546073
HG02486.paternal,0.0405956065851245,300131,14034,AFR,12184,298281,chr8,14034,86.81772837394898
HG02486.paternal,0.038451842318256,301468,14779,AFR,11592,298281,chr6,14779,78.43561810677312
HG02486.maternal,0.038898512902427504,311143,15028,AFR,12103,308218,chr5,15028,80.5363321799308
HG02486.maternal,0.025483094895018526,310912,10617,AFR,7923,308218,chr22,10617,74.62560045210512
HG02486.maternal,0.02215148885463753,308828,7451,AFR,6841,308218,chr13,7451,91.81317943900147
HG02486.maternal,0.04956536329433327,309914,17057,AFR,15361,308218,chr7,17057,90.05686814797444
HG02486.maternal,0.029619181946403384,310542,11522,AFR,9198,308218,chr20,11522,79.82989064398542
HG02486.maternal,0.016643814624231767,309965,6906,AFR,5159,308218,chr18,6906,74.70315667535476
HG02486.maternal,0.027074109256009404,310555,10745,AFR,8408,308218,chr15,10745,78.25034899953467
HG02486.maternal,0.052111054123885926,310011,17948,AFR,16155,308218,chr17,17948,90.01002897258748
HG02486.maternal,0.04990533427732091,312151,19511,AFR,15578,308218,chr19,19511,79.84214033109528
HG02486.maternal,0.04463592084352768,310221,15850,AFR,13847,308218,chr10,15850,87.3627760252366
HG02486.maternal,0.08041799327425933,312828,29767,AFR,25157,308218,chr1,29767,84.5130513656062
HG02486.maternal,0.026560172929017398,310879,10918,AFR,8257,308218,chr14,10918,75.62740428649936
HG02486.maternal,0.012206942900716004,309496,5056,AFR,3778,308218,chr21,5056,74.72310126582279
HG02486.maternal,0.05688164775354843,309221,18592,AFR,17589,308218,chr11,18592,94.6052065404475
HG02486.maternal,0.04371374053158067,311298,16688,AFR,13608,308218,chr3,16688,81.54362416107382
HG02486.maternal,0.04457640768879962,309177,14741,AFR,13782,308218,chr12,14741,93.49433552676209
HG02486.maternal,0.038591907351175764,311542,15347,AFR,12023,308218,chr16,15347,78.34104385221868
HG02486.maternal,0.04708719503719196,309341,15689,AFR,14566,308218,chr9,15689,92.84211868187903
HG02486.maternal,1.2977785276053715e-05,308219,5,AFR,4,308218,chrM,5,80.0
HG02486.maternal,0.06115450805775739,312618,23518,AFR,19118,308218,chr2,23518,81.29092609915809
HG02486.maternal,0.03408926254238216,310567,12936,AFR,10587,308218,chr4,12936,81.84137291280149
HG02486.maternal,0.03354469151007239,311793,14034,AFR,10459,308218,chr8,14034,74.5261507766852
HG02486.maternal,0.043713586821297126,309469,14779,AFR,13528,308218,chr6,14779,91.53528655524731
HG01891.maternal,0.03916977972433337,310520,15028,AFR,12163,307655,chr5,15028,80.93558690444503
HG01891.maternal,0.030189839615465536,308945,10617,AFR,9327,307655,chr22,10617,87.84967504944899
HG01891.maternal,0.022387623861962455,308206,7451,AFR,6900,307655,chr13,7451,92.6050194604751
HG01891.maternal,0.04728914691178842,310050,17057,AFR,14662,307655,chr7,17057,85.95884387641438
HG01891.maternal,0.032263802510341166,309201,11522,AFR,9976,307655,chr20,11522,86.58219059191113
HG01891.maternal,0.01754561893270621,309137,6906,AFR,5424,307655,chr18,6906,78.54039965247611
HG01891.maternal,0.031866661049302095,308567,10745,AFR,9833,307655,chr15,10745,91.51233131689158
HG01891.maternal,0.04999693646222658,310099,17948,AFR,15504,307655,chr17,17948,86.38288388678404
HG01891.maternal,0.047025013441204334,312472,19511,AFR,14694,307655,chr19,19511,75.31136282097279
HG01891.maternal,0.03969082932943389,311155,15850,AFR,12350,307655,chr10,15850,77.91798107255521
HG01891.maternal,0.07691080159834549,313324,29767,AFR,24098,307655,chr1,29767,80.95542043202204
HG01891.maternal,0.033043325993975026,308383,10918,AFR,10190,307655,chr14,10918,93.33211210844478
HG01891.maternal,0.012940696303398593,308716,5056,AFR,3995,307655,chr21,5056,79.01503164556962
HG01891.maternal,0.05691006867953868,308680,18592,AFR,17567,307655,chr11,18592,94.4868760757315
HG01891.maternal,0.05088826031875634,308637,16688,AFR,15706,307655,chr3,16688,94.11553211888783
HG01891.maternal,0.03477981769161638,311560,14741,AFR,10836,307655,chr12,14741,73.50925988738892
HG01891.maternal,0.03816769357850652,311127,15347,AFR,11875,307655,chr16,15347,77.37668599726331
HG01891.maternal,0.04630897023942427,309033,15689,AFR,14311,307655,chr9,15689,91.2167760851552
HG01891.maternal,1.3001534181033362e-05,307656,5,AFR,4,307655,chrM,5,80.0
HG01891.maternal,0.061417903272331015,312010,23518,AFR,19163,307655,chr2,23518,81.4822689004167
HG01891.maternal,0.03584525859701387,309497,12936,AFR,11094,307655,chr4,12936,85.76066790352505
HG01891.maternal,0.033635262401958736,311221,14034,AFR,10468,307655,chr8,14034,74.59028074675787
HG01891.maternal,0.03586596845182639,311270,14779,AFR,11164,307655,chr6,14779,75.5396170241559
HG01891.paternal,0.03862565647204201,310752,15028,AFR,12003,307727,chr5,15028,79.87090763907374
HG01891.paternal,0.03195606931919115,308486,10617,AFR,9858,307727,chr22,10617,92.85108787793162
HG01891.paternal,0.018243730030271604,309531,7451,AFR,5647,307727,chr13,7451,75.78848476714535
HG01891.paternal,0.04519197659787411,310741,17057,AFR,14043,307727,chr7,17057,82.32983525825175
HG01891.paternal,0.0269566923688113,310869,11522,AFR,8380,307727,chr20,11522,72.73042874500955
HG01891.paternal,0.018806767586821014,308825,6906,AFR,5808,307727,chr18,6906,84.1007819287576
HG01891.paternal,0.02742183164931026,309972,10745,AFR,8500,307727,chr15,10745,79.10656119125174
HG01891.paternal,0.04284410573336109,312295,17948,AFR,13380,307727,chr17,17948,74.54869623356363
HG01891.paternal,0.047848988936742505,312295,19511,AFR,14943,307727,chr19,19511,76.58756598841678
HG01891.paternal,0.043238136997607736,310166,15850,AFR,13411,307727,chr10,15850,84.61198738170347
HG01891.paternal,0.07918996959028424,312729,29767,AFR,24765,307727,chr1,29767,83.19615681795277
HG01891.paternal,0.03345106395399749,308331,10918,AFR,10314,307727,chr14,10918,94.46785125480858
HG01891.paternal,0.012491745542593,308924,5056,AFR,3859,307727,chr21,5056,76.3251582278481
HG01891.paternal,0.045740051146305354,312046,18592,AFR,14273,307727,chr11,18592,76.769578313253
HG01891.paternal,0.05081171775802648,308728,16688,AFR,15687,307727,chr3,16688,94.00167785234899
HG01891.paternal,0.03693127920175701,310983,14741,AFR,11485,307727,chr12,14741,77.91194627230175
HG01891.paternal,0.045929417553992234,308887,15347,AFR,14187,307727,chr16,15347,92.4415195152147
HG01891.paternal,0.041530336210228,310520,15689,AFR,12896,307727,chr9,15689,82.19771814647206
HG01891.paternal,0.0,307732,5,AFR,0,307727,chrM,5,0.0
HG01891.paternal,0.06394698974741116,311336,23518,AFR,19909,307727,chr2,23518,84.65430733905944
HG01891.paternal,0.03852070641806658,308769,12936,AFR,11894,307727,chr4,12936,91.94495980210266
HG01891.paternal,0.037567193682262155,310111,14034,AFR,11650,307727,chr8,14034,83.01268348296993
HG01891.paternal,0.040211070220198104,310039,14779,AFR,12467,307727,chr6,14779,84.35618106773124
HG01258.maternal,0.04636799171306487,308920,15028,AMR,14324,308216,chr5,15028,95.31541123236624
HG01258.maternal,0.030871202935803546,309285,10617,AMR,9548,308216,chr22,10617,89.93124234717905
HG01258.maternal,0.020892153153065744,309207,7451,AMR,6460,308216,chr13,7451,86.69977184270567
HG01258.maternal,0.04117679068144644,312409,17057,AMR,12864,308216,chr7,17057,75.41771706630709
HG01258.maternal,0.029470193344817038,310585,11522,AMR,9153,308216,chr20,11522,79.43933344905399
HG01258.maternal,0.017727438612809357,309633,6906,AMR,5489,308216,chr18,6906,79.48161019403418
HG01258.maternal,0.03295831390227473,308784,10745,AMR,10177,308216,chr15,10745,94.71382038157283
HG01258.maternal,0.04793666705221627,311244,17948,AMR,14920,308216,chr17,17948,83.12903944729217
HG01258.maternal,0.05158334162252006,311651,19511,AMR,16076,308216,chr19,19511,82.39454666598328
HG01258.maternal,0.04046387532387474,311463,15850,AMR,12603,308216,chr10,15850,79.51419558359622
HG01258.maternal,0.08088496311054684,312691,29767,AMR,25292,308216,chr1,29767,84.9665737225787
HG01258.maternal,0.027330320237957277,310644,10918,AMR,8490,308216,chr14,10918,77.7614947792636
HG01258.maternal,0.012733849928717596,309333,5056,AMR,3939,308216,chr21,5056,77.90743670886076
HG01258.maternal,0.04762271118633636,311952,18592,AMR,14856,308216,chr11,18592,79.90533562822719
HG01258.maternal,0.04693929502444117,310337,16688,AMR,14567,308216,chr3,16688,87.29026845637584
HG01258.maternal,0.036394151776545494,311616,14741,AMR,11341,308216,chr12,14741,76.93507903127332
HG01258.maternal,0.04064980509706552,310924,15347,AMR,12639,308216,chr16,15347,82.35485762689777
HG01258.maternal,0.046211538834230195,309598,15689,AMR,14307,308216,chr9,15689,91.19128051501052
HG01258.maternal,6.488892638026857e-06,308219,5,AMR,2,308216,chrM,5,40.0
HG01258.maternal,0.06672368996475703,310984,23518,AMR,20750,308216,chr2,23518,88.23029169147037
HG01258.maternal,0.038862902651890095,309138,12936,AMR,12014,308216,chr4,12936,92.8726035868893
HG01258.maternal,0.042134913217407616,309221,14034,AMR,13029,308216,chr8,14034,92.83882000855067
HG01258.maternal,0.03806178330847946,311152,14779,AMR,11843,308216,chr6,14779,80.13397388185939
HG03516.paternal,0.03984964821537572,311270,15028,AFR,12404,308646,chr5,15028,82.53926004791057
HG03516.paternal,0.03095483358467048,309677,10617,AFR,9586,308646,chr22,10617,90.28915889611001
HG03516.paternal,0.018222522870764077,310440,7451,AFR,5657,308646,chr13,7451,75.92269494027647
HG03516.paternal,0.051190606825414244,309842,17057,AFR,15861,308646,chr7,17057,92.9882159817084
HG03516.paternal,0.034575464991533855,309468,11522,AFR,10700,308646,chr20,11522,92.8658219059191
HG03516.paternal,0.019521178637200737,309510,6906,AFR,6042,308646,chr18,6906,87.48913987836664
HG03516.paternal,0.02862120938860691,310504,10745,AFR,8887,308646,chr15,10745,82.70823638901815
HG03516.paternal,0.04812611120738901,311598,17948,AFR,14996,308646,chr17,17948,83.55248495654112
HG03516.paternal,0.05753390223780551,310304,19511,AFR,17853,308646,chr19,19511,91.50222951155759
HG03516.paternal,0.03764009912862739,312725,15850,AFR,11771,308646,chr10,15850,74.26498422712933
HG03516.paternal,0.07797155462117954,313935,29767,AFR,24478,308646,chr1,29767,82.23200188127792
HG03516.paternal,0.026728140211087728,311245,10918,AFR,8319,308646,chr14,10918,76.19527385968127
HG03516.paternal,0.011954992967651195,309996,5056,AFR,3706,308646,chr21,5056,73.29905063291139
HG03516.paternal,0.05347232058925789,310628,18592,AFR,16610,308646,chr11,18592,89.3395008605852
HG03516.paternal,0.04184893648363895,312266,16688,AFR,13068,308646,chr3,16688,78.3077660594439
HG03516.paternal,0.03674268897110212,311926,14741,AFR,11461,308646,chr12,14741,77.74913506546368
HG03516.paternal,0.04157718768083328,311060,15347,AFR,12933,308646,chr16,15347,84.27054147390369
HG03516.paternal,0.0418460174489573,311308,15689,AFR,13027,308646,chr9,15689,83.03269806871056
HG03516.paternal,3.239915762190183e-06,308650,5,AFR,1,308646,chrM,5,20.0
HG03516.paternal,0.061942715376819515,312789,23518,AFR,19375,308646,chr2,23518,82.38370609745726
HG03516.paternal,0.03526071294051747,310629,12936,AFR,10953,308646,chr4,12936,84.67068645640074
HG03516.paternal,0.036832820829196346,311217,14034,AFR,11463,308646,chr8,14034,81.68020521590424
HG03516.paternal,0.0366318798958961,311996,14779,AFR,11429,308646,chr6,14779,77.3327018066175
HG03516.maternal,0.04028343074657768,311046,15028,AFR,12530,308548,chr5,15028,83.37769496939048
HG03516.maternal,0.030332279860153858,309769,10617,AFR,9396,308548,chr22,10617,88.49957615145522
HG03516.maternal,0.022263414823513426,309117,7451,AFR,6882,308548,chr13,7451,92.36344114883909
HG03516.maternal,0.047395865165936996,310871,17057,AFR,14734,308548,chr7,17057,86.38095796447206
HG03516.maternal,0.0332838326446281,309760,11522,AFR,10310,308548,chr20,11522,89.48099288318001
HG03516.maternal,0.018076313606774825,309853,6906,AFR,5601,308548,chr18,6906,81.10338835794961
HG03516.maternal,0.030077104235893798,309970,10745,AFR,9323,308548,chr15,10745,86.76593764541647
HG03516.maternal,0.04464679947015121,312542,17948,AFR,13954,308548,chr17,17948,77.74682415868064
HG03516.maternal,0.05481138991421553,311012,19511,AFR,17047,308548,chr19,19511,87.37122648762237
HG03516.maternal,0.04745544896529233,309701,15850,AFR,14697,308548,chr10,15850,92.72555205047318
HG03516.maternal,0.08604860197104428,311510,29767,AFR,26805,308548,chr1,29767,90.049383545537
HG03516.maternal,0.032894481590212486,309292,10918,AFR,10174,308548,chr14,10918,93.18556512181718
HG03516.maternal,0.014000530274125856,309274,5056,AFR,4330,308548,chr21,5056,85.64082278481013
HG03516.maternal,0.049824462315557067,311614,18592,AFR,15526,308548,chr11,18592,83.50903614457832
HG03516.maternal,0.04531444347666783,311137,16688,AFR,14099,308548,chr3,16688,84.48585810162992
HG03516.maternal,0.038869768921537436,311193,14741,AFR,12096,308548,chr12,14741,82.05684824638763
HG03516.maternal,0.04074353742589528,311215,15347,AFR,12680,308548,chr16,15347,82.6220108164462
HG03516.maternal,0.04015462594636212,311720,15689,AFR,12517,308548,chr9,15689,79.78201287526292
HG03516.maternal,1.2963905246816551e-05,308549,5,AFR,4,308548,chrM,5,80.0
HG03516.maternal,0.0693523975139278,310530,23518,AFR,21536,308548,chr2,23518,91.57241262012076
HG03516.maternal,0.034825294127114416,310665,12936,AFR,10819,308548,chr4,12936,83.63481756338899
HG03516.maternal,0.0377683839378205,310842,14034,AFR,11740,308548,chr8,14034,83.65398318369674
HG03516.maternal,0.04439520257895298,309583,14779,AFR,13744,308548,chr6,14779,92.99681981189525
HG01123.maternal,0.04202068442536988,309895,15028,AMR,13022,307889,chr5,15028,86.65158371040724
HG01123.maternal,0.027342603433872317,310029,10617,AMR,8477,307889,chr22,10617,79.84364698125647
HG01123.maternal,0.019996247873255747,309158,7451,AMR,6182,307889,chr13,7451,82.96872902966045
HG01123.maternal,0.04668676639222811,310452,17057,AMR,14494,307889,chr7,17057,84.97391100427977
HG01123.maternal,0.03269662267457274,309298,11522,AMR,10113,307889,chr20,11522,87.77122027425794
HG01123.maternal,0.021096950608353794,308291,6906,AMR,6504,307889,chr18,6906,94.17897480451781
HG01123.maternal,0.02809371239033708,309927,10745,AMR,8707,307889,chr15,10745,81.03303862261517
HG01123.maternal,0.04650946183789617,311356,17948,AMR,14481,307889,chr17,17948,80.6830844662358
HG01123.maternal,0.05896089866125866,309171,19511,AMR,18229,307889,chr19,19511,93.42934754753729
HG01123.maternal,0.04685544658188062,309249,15850,AMR,14490,307889,chr10,15850,91.41955835962145
HG01123.maternal,0.08815984531098936,310300,29767,AMR,27356,307889,chr1,29767,91.90042664695804
HG01123.maternal,0.026902449630381214,310455,10918,AMR,8352,307889,chr14,10918,76.49752701960065
HG01123.maternal,0.012265771317114827,309153,5056,AMR,3792,307889,chr21,5056,75.0
HG01123.maternal,0.057692120788018386,308673,18592,AMR,17808,307889,chr11,18592,95.78313253012048
HG01123.maternal,0.04185029803652191,311539,16688,AMR,13038,307889,chr3,16688,78.12799616490892
HG01123.maternal,0.03697870630775412,311125,14741,AMR,11505,307889,chr12,14741,78.04762227800013
HG01123.maternal,0.04584442855432641,309067,15347,AMR,14169,307889,chr16,15347,92.32423274907148
HG01123.maternal,0.04140141738061368,310714,15689,AMR,12864,307889,chr9,15689,81.99375358531455
HG01123.maternal,1.29916528630355e-05,307890,5,AMR,4,307889,chrM,5,80.0
HG01123.maternal,0.06385567308155306,311515,23518,AMR,19892,307889,chr2,23518,84.58202228080619
HG01123.maternal,0.03536690053119736,309866,12936,AMR,10959,307889,chr4,12936,84.71706864564007
HG01123.maternal,0.04015573757249713,309495,14034,AMR,12428,307889,chr8,14034,88.55636311814166
HG01123.maternal,0.04092159892639274,309983,14779,AMR,12685,307889,chr6,14779,85.83124703971852
HG01258.paternal,0.0461321104471929,299401,15028,AMR,13812,298185,chr5,15028,91.90843758317807
HG01258.paternal,0.03283787761217992,298984,10617,AMR,9818,298185,chr22,10617,92.47433361589903
HG01258.paternal,0.02134342971906339,299249,7451,AMR,6387,298185,chr13,7451,85.72003757884848
HG01258.paternal,0.04644994672181484,301249,17057,AMR,13993,298185,chr7,17057,82.03670047487834
HG01258.paternal,0.03308671461165891,299788,11522,AMR,9919,298185,chr20,11522,86.08748481166464
HG01258.paternal,0.021474703442180013,298677,6906,AMR,6414,298185,chr18,6906,92.87576020851434
HG01258.paternal,0.028029297154475604,300507,10745,AMR,8423,298185,chr15,10745,78.38994881340159
HG01258.paternal,0.05627652109993651,299290,17948,AMR,16843,298185,chr17,17948,93.8433251615779
HG01258.paternal,0.05341410604568499,301587,19511,AMR,16109,298185,chr19,19511,82.56368202552406
